news_website,url,original_language,owner,city,canton,occurrence,status
Le Nouveau Quotidien,,French,,Lausanne,Canton of Vaud,Daily,defunct
Journal du Chablais,,French,,Monthey,Canton of Valais,Thrice weekly,defunct
Journal de Payerne,,French,,Payerne,Canton of Vaud,Twice weekly,defunct
L'Écho romand,,French,,Lausanne,Canton of Vaud,Weekly,defunct
dimanche.ch,,French,,,,Weekly,defunct
Le Matin Bleu,,French,,Lausanne,Canton of Vaud,Daily,defunct
Le Nord vaudois,,French,,Yverdon,Canton of Vaud,Daily,defunct
La Presse Riviera/Chablais,,French,,Montreux,Canton of Vaud,Daily,defunct
Feuille d’avis d'Avenches,,French,,Avenches,Canton of Vaud,,defunct
L'Express,,French,,Neuchâtel,Canton of Neuchâtel,Daily,defunct
L'Impartial,,French,,La Chaux-de-Fonds,Canton of Neuchâtel,Daily,defunct
Le Régional,,French,,Vevey,Canton of Vaud,Weekly,defunct
Journal de Moudon,,French,,Moudon,Canton of Vaud,,defunct
Nuove di diverse corti e paesi,,Italian,,Lugano,Canton of Ticino,Weekly,defunct
Gazzetta di Lugano,,Italian,,Lugano,Canton of Ticino,Weekly,defunct
Corriere Svizzero,,Italian,,,Canton of Ticino,,defunct
Osservatore del Ceresio,,Italian,,,Canton of Ticino,,defunct
Telegrafo delle Alpi,,Italian,,,Canton of Ticino,,defunct
L'Amico del Popolo di Mesolcina e Calanca,,Italian,,Grono,Canton of the Grisons,Weekly,defunct
Falce e Martello,,Italian,,Zurich,Canton of Zurich,Weekly,defunct
L'Avanguardia,,Italian,,,Canton of Ticino,,defunct
Il Dovere,,Italian,,,Canton of Ticino,Thrice weekly,defunct
Eco di Locarno,,Italian,,Locarno,Canton of Ticino,Thrice weekly,defunct
Libera Stampa,,Italian,,,Canton of Ticino,Daily,defunct
Gazzetta Ticinese,,Italian,,Lugano,Canton of Ticino,Daily,defunct
Il San Bernardino,,Italian,,San Bernadino,Canton of the Grisons,Weekly,defunct
La voce della Rezia,,Italian,,San Bernadino,Canton of the Grisons,Weekly,defunct
La voce del San Bernardino,,Italian,,San Bernadino,Canton of the Grisons,Weekly,defunct
Gazetta ordinaria da Scuol [de; rm],,Romansch,,,Canton of the Grisons,,defunct
Grischun Romontsch,,Romansch,,,Canton of the Grisons,,defunct
Amitg della Religiun e della Patria,,Romansch,,,Canton of the Grisons,,defunct
Il Grischun,,Romansch,,,Canton of the Grisons,,defunct
Fögl d'Engiadina,,Romansch,,,Canton of the Grisons,,defunct
Il Grischun,,Romansch,,,Canton of the Grisons,,defunct
Gazetta Ladina,,Romansch,,,Canton of the Grisons,,defunct
Casa paterna,,Romansch,,,Canton of the Grisons,,defunct
La Pùnt,,Romansch,,,Canton of the Grisons,,defunct
Casa Paterna/La Pùnt [de],,Romansch,,,Canton of the Grisons,,defunct
Fögl Ladin [de],,Romansch,,,Canton of the Grisons,,defunct
Gasetta Romontscha [de],,Romansch,,,Canton of the Grisons,,defunct
Kolokol,,Other,,Geneva,Canton of Geneva,Weekly,defunct
Narodnoye delo,,Other,,Geneva,Canton of Geneva,,defunct
Vperyod,,Other,,Geneva,Canton of Geneva,,defunct
Mizan,,Other,,Geneva,Canton of Geneva,Weekly,defunct
